post_id,year,price,beds,word
pre2013_125648,2004,995,1,beautiful
pre2013_125830,2004,885,1,beautiful
pre2013_78381,2008,4950,3,beautiful
pre2013_151594,2006,1500,1,beautiful
pre2013_151679,2006,1350,1,beautiful
3544411089,2013,3200,2,beautiful
pre2013_128025,2004,1795,2,beautiful
pre2013_129008,2004,550,1,beautiful
pre2013_128959,2004,995,1,beautiful
pre2013_158140,2006,2500,NA,beautiful
pre2013_17266,2012,1299,1,beautiful
pre2013_130711,2004,995,1,beautiful
pre2013_132637,2004,1400,2,beautiful
pre2013_153215,2006,1190,1,beautiful
pre2013_36473,2011,3995,4,beautiful
pre2013_139845,2005,1150,1,beautiful
pre2013_140451,2005,950,1,beautiful
pre2013_141496,2005,1595,2,beautiful
pre2013_44889,2011,3900,4,beautiful
pre2013_142985,2005,995,1,beautiful
pre2013_143432,2005,2700,2,beautiful
pre2013_65788,2012,4895,4,beautiful
pre2013_70113,2012,2750,2,beautiful
pre2013_66761,2012,1400,1,beautiful
pre2013_28749,2010,1650,1,beautiful
pre2013_14253,2012,3995,4,beautiful
pre2013_22811,2012,2950,3,beautiful
pre2013_12198,2011,1475,1,beautiful
pre2013_158011,2006,700,0,beautiful
4250616131,2013,2150,2,beautiful
5527188142,2016,1450,1,beautiful
5533322048,2016,1900,NA,beautiful
5528762709,2016,2800,1,beautiful
pre2013_18249,2012,2095,2,beautiful
pre2013_30852,2011,1695,2,beautiful
pre2013_62584,2012,3800,3,beautiful
pre2013_38428,2011,2200,2,beautiful
3812394206,2013,1095,0,beautiful
pre2013_67201,2012,4500,5,beautiful
pre2013_14021,2012,2550,2,beautiful
pre2013_50945,2012,1875,1,beautiful
pre2013_58465,2012,2200,NA,beautiful
5741201161,2016,2850,2,beautiful
pre2013_44463,2011,3995,4,beautiful
3803858457,2013,2900,2,beautiful
5522261698,2016,2600,1,beautiful
pre2013_5437,2007,1395,2,beautiful
pre2013_130358,2004,950,1,beautiful
